,,,,
#FFFAFA,Snow,,,
#F8F8FF,GhostWhite,,,
#F5F5F5,WhiteSmoke,,,
#DCDCDC,Gainsboro,,,
#FFFAF0,FloralWhite,,,
#FDF5E6,OldLace,,,
#FAF0E6,Linen,,,
#FAEBD7,AntiqueWhite,,,
#FFEFD5,PapayaWhip,,,
#FFEBCD,BlanchedAlmond,,,
#FFE4C4,Bisque,,,
#FFDAB9,PeachPuff,,,
#FFDEAD,NavajoWhite,,,
#FFE4B5,Moccasin,,,
#FFF8DC,Cornsilk,,,
#FFFFF0,Ivory,,,
#FFFACD,LemonChiffon,,,
#FFF5EE,Seashell,,,
#F0FFF0,Honeydew,,,
#F5FFFA,MintCream,,,
#F0FFFF,Azure,,,
#F0F8FF,AliceBlue,,,
#E6E6FA,lavender,,,
#FFF0F5,LavenderBlush,,,
#FFE4E1,MistyRose,,,
#FFFFFF,White,,,
#000000,Black,,,
#2F4F4F,DarkSlateGray,,,
#696969,DimGrey,,,
#708090,SlateGrey,,,
#778899,LightSlateGray,,,
#BEBEBE,Grey,,,
#D3D3D3,LightGray,,,
#191970,MidnightBlue,,,
#000080,NavyBlue,,,
#6495ED,CornflowerBlue,,,
#483D8B,DarkSlateBlue,,,
#6A5ACD,SlateBlue,,,
#7B68EE,MediumSlateBlue,,,
#8470FF,LightSlateBlue,,,
#0000CD,MediumBlue,,,
#4169E1,RoyalBlue,,,
#0000FF,Blue,,,
#1E90FF,DodgerBlue,,,
#00BFFF,DeepSkyBlue,,,
#87CEEB,SkyBlue,,,
#87CEFA,LightSkyBlue,,,
#4682B4,SteelBlue,,,
#B0C4DE,LightSteelBlue,,,
#ADD8E6,LightBlue,,,
#B0E0E6,PowderBlue,,,
#AFEEEE,PaleTurquoise,,,
#00CED1,DarkTurquoise,,,
#48D1CC,MediumTurquoise,,,
#40E0D0,Turquoise,,,
#00FFFF,Cyan,,,
#E0FFFF,LightCyan,,,
#5F9EA0,CadetBlue,,,
#66CDAA,MediumAquamarine,,,
#7FFFD4,Aquamarine,,,
#006400,DarkGreen,,,
#556B2F,DarkOliveGreen,,,
#8FBC8F,DarkSeaGreen,,,
#2E8B57,SeaGreen,,,
#3CB371,MediumSeaGreen,,,
#20B2AA,LightSeaGreen,,,
#98FB98,PaleGreen,,,
#00FF7F,SpringGreen,,,
#7CFC00,LawnGreen,,,
#00FF00,Green,,,
#7FFF00,Chartreuse,,,
#00FA9A,MedSpringGreen,,,
#ADFF2F,GreenYellow,,,
#32CD32,LimeGreen,,,
#9ACD32,YellowGreen,,,
#228B22,ForestGreen,,,
#6B8E23,OliveDrab,,,
#BDB76B,DarkKhaki,,,
#EEE8AA,PaleGoldenrod,,,
#FAFAD2,LtGoldenrodYello,,,
#FFFFE0,LightYellow,,,
#FFFF00,Yellow,,,
#FFD700,Gold,,,
#EEDD82,LightGoldenrod,,,
#DAA520,goldenrod,,,
#B8860B,DarkGoldenrod,,,
#BC8F8F,RosyBrown,,,
#CD5C5C,IndianRed,,,
#8B4513,SaddleBrown,,,
#A0522D,Sienna,,,
#CD853F,Peru,,,
#DEB887,Burlywood,,,
#F5F5DC,Beige,,,
#F5DEB3,Wheat,,,
#F4A460,SandyBrown,,,
#D2B48C,Tan,,,
#D2691E,Chocolate,,,
#B22222,Firebrick,,,
#A52A2A,Brown,,,
#E9967A,DarkSalmon,,,
#FA8072,Salmon,,,
#FFA07A,LightSalmon,,,
#FFA500,Orange,,,
#FF8C00,DarkOrange,,,
#FF7F50,Coral,,,
#F08080,LightCoral,,,
#FF6347,Tomato,,,
#FF4500,OrangeRed,,,
#FF0000,Red,,,
#FF69B4,HotPink,,,
#FF1493,DeepPink,,,
#FFC0CB,Pink,,,
#FFB6C1,LightPink,,,
#DB7093,PaleVioletRed,,,
#B03060,Maroon,,,
#C71585,MediumVioletRed,,,
#D02090,VioletRed,,,
#FF00FF,Magenta,,,
#EE82EE,Violet,,,
#DDA0DD,Plum,,,
#DA70D6,Orchid,,,
#BA55D3,MediumOrchid,,,
#9932CC,DarkOrchid,,,
#9400D3,DarkViolet,,,
#8A2BE2,BlueViolet,,,
#A020F0,Purple,,,
#9370DB,MediumPurple,,,
#D8BFD8,Thistle,,,
#FFFAFA,Snow1,,,
#EEE9E9,Snow2,,,
#CDC9C9,Snow3,,,
#8B8989,Snow4,,,
#FFF5EE,Seashell1,,,
#EEE5DE,Seashell2,,,
#CDC5BF,Seashell3,,,
#8B8682,Seashell4,,,
#FFEFDB,AntiqueWhite1,,,
#EEDFCC,AntiqueWhite2,,,
